Specimen properties : Thickness,"3.80000",mm
Specimen properties : Width,"7.20000",mm
Specimen properties : Support span,"60.80000",mm

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.00000","-0.00187"
"0.10000","0.00052","-0.00132"
"0.20000","0.00658","0.00331"
"0.30000","0.01800","0.01027"
"0.40000","0.02514","0.01420"
"0.50000","0.03202","0.01791"
"0.60000","0.03854","0.02139"
"0.70000","0.04500","0.02496"
"0.80000","0.05167","0.02909"
"0.90000","0.05850","0.03230"
"1.00000","0.06529","0.03629"
"1.10000","0.07222","0.03995"
"1.20000","0.07900","0.04342"
"1.30000","0.08520","0.04680"
"1.40000","0.09169","0.05007"
"1.50000","0.09843","0.05340"
"1.60000","0.10552","0.05752"
"1.70000","0.11210","0.06056"
"1.80000","0.11853","0.06374"
"1.90000","0.12518","0.06681"
"2.00000","0.13238","0.07087"
"2.10000","0.13905","0.07272"
"2.20000","0.14520","0.07513"
"2.30000","0.15145","0.07854"
"2.40000","0.15848","0.08187"
"2.50000","0.16544","0.08519"
"2.60000","0.17217","0.08790"
"2.70000","0.17866","0.09085"
"2.80000","0.18531","0.09397"
"2.90000","0.19200","0.09725"
"3.00000","0.19863","0.09960"
"3.10000","0.20504","0.10304"
"3.20000","0.21191","0.10582"
"3.30000","0.21838","0.10885"
"3.40000","0.22527","0.11186"
"3.50000","0.23196","0.11458"
"3.60000","0.23900","0.11783"
"3.70000","0.24554","0.12061"
"3.80000","0.25182","0.12353"
"3.90000","0.25825","0.12620"
"4.00000","0.26521","0.12938"
"4.10000","0.27223","0.13224"
"4.20000","0.27882","0.13539"
"4.30000","0.28494","0.13797"
"4.40000","0.29197","0.14122"
"4.50000","0.29910","0.14331"
"4.60000","0.30559","0.14643"
"4.70000","0.31187","0.14879"
"4.80000","0.31815","0.15164"
"4.90000","0.32521","0.15460"
"5.00000","0.33218","0.15780"
"5.10000","0.33873","0.16047"
"5.20000","0.34543","0.16359"
"5.30000","0.35188","0.16603"
"5.40000","0.35868","0.16937"
"5.50000","0.36524","0.17191"
"5.60000","0.37189","0.17437"
"5.70000","0.37879","0.17742"
"5.80000","0.38518","0.17991"
"5.90000","0.39171","0.18301"
"6.00000","0.39877","0.18587"
"6.10000","0.40571","0.18844"
"6.20000","0.41226","0.19125"
"6.30000","0.41832","0.19369"
"6.40000","0.42488","0.19616"
"6.50000","0.43215","0.19950"
"6.60000","0.43899","0.20220"
"6.70000","0.44534","0.20477"
"6.80000","0.45160","0.20695"
"6.90000","0.45862","0.21018"
"7.00000","0.46574","0.21274"
"7.10000","0.47204","0.21532"
"7.20000","0.47840","0.21800"
"7.30000","0.48492","0.22006"
"7.40000","0.49179","0.22296"
"7.50000","0.49863","0.22600"
"7.60000","0.50530","0.22842"
"7.70000","0.51217","0.23126"
"7.80000","0.51868","0.23379"
"7.90000","0.52512","0.23649"
"8.00000","0.53174","0.23871"
"8.10000","0.53871","0.24203"
"8.20000","0.54539","0.24464"
"8.30000","0.55168","0.24657"
"8.40000","0.55840","0.24976"
"8.50000","0.56577","0.25256"
"8.60000","0.57246","0.25503"
"8.70000","0.57863","0.25715"
"8.80000","0.58476","0.25976"
"8.90000","0.59167","0.26234"
"9.00000","0.59895","0.26494"
"9.10000","0.60548","0.26758"
"9.20000","0.61194","0.27040"
"9.30000","0.61856","0.27257"
"9.40000","0.62535","0.27512"
"9.50000","0.63219","0.27794"
"9.60000","0.63867","0.28053"
"9.70000","0.64516","0.28305"
"9.80000","0.65176","0.28538"
"9.90000","0.65856","0.28778"
"10.00000","0.66540","0.29087"
"10.10000","0.67223","0.29306"
"10.20000","0.67898","0.29563"
"10.30000","0.68524","0.29799"
"10.40000","0.69158","0.29999"
"10.50000","0.69852","0.30255"
"10.60000","0.70564","0.30565"
"10.70000","0.71211","0.30752"
"10.80000","0.71834","0.30979"
"10.90000","0.72510","0.31216"
"11.00000","0.73232","0.31499"
"11.10000","0.73903","0.31782"
"11.20000","0.74530","0.31945"
"11.30000","0.75145","0.32146"
"11.40000","0.75844","0.32390"
"11.50000","0.76552","0.32654"
"11.60000","0.77217","0.32868"
"11.70000","0.77861","0.33104"
"11.80000","0.78515","0.33362"
"11.90000","0.79193","0.33593"
"12.00000","0.79867","0.33796"
"12.10000","0.80517","0.34054"
"12.20000","0.81193","0.34267"
"12.30000","0.81836","0.34462"
"12.40000","0.82513","0.34689"
"12.50000","0.83187","0.34942"
"12.60000","0.83904","0.35184"
"12.70000","0.84552","0.35413"
"12.80000","0.85180","0.35606"
"12.90000","0.85828","0.35824"
"13.00000","0.86521","0.36040"
"13.10000","0.87217","0.36294"
"13.20000","0.87885","0.36468"
"13.30000","0.88500","0.36661"
"13.40000","0.89189","0.36935"
"13.50000","0.89902","0.37168"
"13.60000","0.90562","0.37367"
"13.70000","0.91184","0.37524"
"13.80000","0.91816","0.37728"
"13.90000","0.92526","0.37985"
"14.00000","0.93217","0.38206"
"14.10000","0.93876","0.38411"
"14.20000","0.94548","0.38605"
"14.30000","0.95191","0.38796"
"14.40000","0.95860","0.38994"
"14.50000","0.96520","0.39242"
"14.60000","0.97181","0.39427"
"14.70000","0.97876","0.39658"
"14.80000","0.98513","0.39831"
"14.90000","0.99177","0.40007"
"15.00000","0.99887","0.40271"
"15.10000","1.00573","0.40477"
"15.20000","1.01222","0.40643"
"15.30000","1.01824","0.40804"
"15.40000","1.02480","0.40986"
"15.50000","1.03216","0.41204"
"15.60000","1.03888","0.41440"
"15.70000","1.04537","0.41655"
"15.80000","1.05167","0.41835"
"15.90000","1.05864","0.42011"
"16.00000","1.06569","0.42231"
"16.10000","1.07198","0.42426"
"16.20000","1.07825","0.42627"
"16.30000","1.08506","0.42780"
"16.40000","1.09191","0.42984"
"16.50000","1.09870","0.43202"
"16.60000","1.10532","0.43347"
"16.70000","1.11217","0.43566"
"16.80000","1.11863","0.43734"
"16.90000","1.12511","0.43943"
"17.00000","1.13175","0.44119"
"17.10000","1.13868","0.44306"
"17.20000","1.14550","0.44509"
"17.30000","1.15175","0.44667"
"17.40000","1.15835","0.44885"
"17.50000","1.16563","0.45074"
"17.60000","1.17242","0.45246"
"17.70000","1.17873","0.45385"
"17.80000","1.18492","0.45540"
"17.90000","1.19167","0.45789"
"18.00000","1.19879","0.45970"
"18.10000","1.20551","0.46145"
"18.20000","1.21192","0.46319"
"18.30000","1.21850","0.46478"
"18.40000","1.22535","0.46667"
"18.50000","1.23221","0.46866"
"18.60000","1.23859","0.47043"
"18.70000","1.24513","0.47192"
"18.80000","1.25171","0.47349"
"18.90000","1.25860","0.47552"
"19.00000","1.26542","0.47727"
"19.10000","1.27225","0.47928"
"19.20000","1.27897","0.48072"
"19.30000","1.28523","0.48221"
"19.40000","1.29160","0.48387"
"19.50000","1.29841","0.48544"
"19.60000","1.30561","0.48790"
"19.70000","1.31211","0.48919"
"19.80000","1.31851","0.49057"
"19.90000","1.32516","0.49222"
"20.00000","1.33237","0.49453"
"20.10000","1.33910","0.49579"
"20.20000","1.34524","0.49717"
"20.30000","1.35139","0.49880"
"20.40000","1.35844","0.50055"
"20.50000","1.36545","0.50241"
"20.60000","1.37214","0.50366"
"20.70000","1.37864","0.50517"
"20.80000","1.38531","0.50682"
"20.90000","1.39201","0.50867"
"21.00000","1.39866","0.51001"
"21.10000","1.40508","0.51155"
"21.20000","1.41191","0.51330"
"21.30000","1.41837","0.51477"
"21.40000","1.42517","0.51640"
"21.50000","1.43198","0.51802"
"21.60000","1.43902","0.51971"
"21.70000","1.44550","0.52067"
"21.80000","1.45171","0.52227"
"21.90000","1.45820","0.52383"
"22.00000","1.46531","0.52530"
"22.10000","1.47222","0.52677"
"22.20000","1.47877","0.52836"
"22.30000","1.48498","0.52951"
"22.40000","1.49204","0.53157"
"22.50000","1.49905","0.53308"
"22.60000","1.50550","0.53436"
"22.70000","1.51178","0.53554"
"22.80000","1.51819","0.53701"
"22.90000","1.52527","0.53872"
"23.00000","1.53219","0.54006"
"23.10000","1.53874","0.54169"
"23.20000","1.54550","0.54329"
"23.30000","1.55187","0.54479"
"23.40000","1.55864","0.54578"
"23.50000","1.56527","0.54732"
"23.60000","1.57181","0.54877"
"23.70000","1.57875","0.55011"
"23.80000","1.58514","0.55137"
"23.90000","1.59177","0.55284"
"24.00000","1.59880","0.55438"
"24.10000","1.60573","0.55599"
"24.20000","1.61225","0.55711"
"24.30000","1.61826","0.55803"
"24.40000","1.62487","0.55960"
"24.50000","1.63219","0.56143"
"24.60000","1.63895","0.56270"
"24.70000","1.64538","0.56398"
"24.80000","1.65166","0.56494"
"24.90000","1.65869","0.56671"
"25.00000","1.66566","0.56842"
"25.10000","1.67199","0.56935"
"25.20000","1.67833","0.57061"
"25.30000","1.68501","0.57172"
"25.40000","1.69188","0.57314"
"25.50000","1.69870","0.57427"
"25.60000","1.70525","0.57596"
"25.70000","1.71221","0.57721"
"25.80000","1.71858","0.57798"
"25.90000","1.72508","0.57948"
"26.00000","1.73169","0.58058"
"26.10000","1.73880","0.58220"
"26.20000","1.74546","0.58319"
"26.30000","1.75171","0.58455"
"26.40000","1.75833","0.58576"
"26.50000","1.76574","0.58742"
"26.60000","1.77254","0.58854"
"26.70000","1.77874","0.58975"
"26.80000","1.78478","0.59052"
"26.90000","1.79161","0.59174"
"27.00000","1.79896","0.59385"
"27.10000","1.80556","0.59488"
"27.20000","1.81197","0.59574"
"27.30000","1.81847","0.59707"
"27.40000","1.82527","0.59830"
"27.50000","1.83223","0.59934"
"27.60000","1.83870","0.60056"
"27.70000","1.84514","0.60147"
"27.80000","1.85179","0.60286"
"27.90000","1.85857","0.60436"
"28.00000","1.86541","0.60546"
"28.10000","1.87223","0.60664"
"28.20000","1.87894","0.60770"
"28.30000","1.88524","0.60864"
"28.40000","1.89159","0.60995"
"28.50000","1.89840","0.61112"
"28.60000","1.90558","0.61269"
"28.70000","1.91213","0.61357"
"28.80000","1.91841","0.61426"
"28.90000","1.92516","0.61571"
"29.00000","1.93247","0.61735"
"29.10000","1.93909","0.61828"
"29.20000","1.94523","0.61872"
"29.30000","1.95136","0.61997"
"29.40000","1.95840","0.62145"
"29.50000","1.96551","0.62271"
"29.60000","1.97216","0.62428"
"29.70000","1.97857","0.62492"
"29.80000","1.98525","0.62596"
"29.90000","1.99195","0.62730"
"30.00000","1.99868","0.62826"
"30.10000","2.00519","0.62923"
"30.20000","2.01189","0.63020"
"30.30000","2.01839","0.63138"
"30.40000","2.02515","0.63247"
"30.50000","2.03190","0.63361"
"30.60000","2.03902","0.63468"
"30.70000","2.04562","0.63584"
"30.80000","2.05180","0.63658"
"30.90000","2.05815","0.63753"
"31.00000","2.06524","0.63931"
"31.10000","2.07227","0.64006"
"31.20000","2.07880","0.64097"
"31.30000","2.08506","0.64190"
"31.40000","2.09191","0.64296"
"31.50000","2.09904","0.64422"
"31.60000","2.10555","0.64543"
"31.70000","2.11181","0.64607"
"31.80000","2.11816","0.64692"
"31.90000","2.12522","0.64798"
"32.00000","2.13223","0.64943"
"32.10000","2.13870","0.65025"
"32.20000","2.14547","0.65142"
"32.30000","2.15193","0.65213"
"32.40000","2.15860","0.65305"
"32.50000","2.16519","0.65400"
"32.60000","2.17182","0.65523"
"32.70000","2.17875","0.65656"
"32.80000","2.18517","0.65734"
"32.90000","2.19178","0.65792"
"33.00000","2.19879","0.65953"
"33.10000","2.20569","0.66069"
"33.20000","2.21216","0.66125"
"33.30000","2.21840","0.66206"
"33.40000","2.22488","0.66348"
"33.50000","2.23213","0.66430"
"33.60000","2.23894","0.66539"
"33.70000","2.24530","0.66610"
"33.80000","2.25163","0.66698"
"33.90000","2.25872","0.66809"
"34.00000","2.26571","0.66875"
"34.10000","2.27195","0.66972"
"34.20000","2.27821","0.67029"
"34.30000","2.28503","0.67164"
"34.40000","2.29193","0.67312"
"34.50000","2.29870","0.67351"
"34.60000","2.30535","0.67466"
"34.70000","2.31221","0.67595"
"34.80000","2.31864","0.67664"
"34.90000","2.32510","0.67756"
"35.00000","2.33173","0.67792"
"35.10000","2.33877","0.67894"
"35.20000","2.34539","0.67991"
"35.30000","2.35186","0.68124"
"35.40000","2.35837","0.68155"
"35.50000","2.36561","0.68329"
"35.60000","2.37234","0.68410"
"35.70000","2.37870","0.68499"
"35.80000","2.38480","0.68552"
"35.90000","2.39179","0.68708"
"36.00000","2.39885","0.68760"
"36.10000","2.40550","0.68852"
"36.20000","2.41193","0.68935"
"36.30000","2.41850","0.69039"
"36.40000","2.42528","0.69129"
"36.50000","2.43216","0.69228"
"36.60000","2.43863","0.69283"
"36.70000","2.44521","0.69347"
"36.80000","2.45178","0.69505"
"36.90000","2.45859","0.69542"
"37.00000","2.46534","0.69663"
"37.10000","2.47223","0.69725"
"37.20000","2.47897","0.69806"
"37.30000","2.48520","0.69905"
"37.40000","2.49171","0.70013"
"37.50000","2.49852","0.70077"
"37.60000","2.50558","0.70161"
"37.70000","2.51212","0.70232"
"37.80000","2.51844","0.70290"
"37.90000","2.52522","0.70434"
"38.00000","2.53239","0.70519"
"38.10000","2.53908","0.70574"
"38.20000","2.54524","0.70618"
"38.30000","2.55143","0.70681"
"38.40000","2.55843","0.70793"
"38.50000","2.56547","0.70942"
"38.60000","2.57218","0.70991"
"38.70000","2.57859","0.71079"
"38.80000","2.58519","0.71176"
"38.90000","2.59201","0.71242"
"39.00000","2.59868","0.71287"
"39.10000","2.60514","0.71367"
"39.20000","2.61193","0.71462"
"39.30000","2.61841","0.71529"
"39.40000","2.62520","0.71609"
"39.50000","2.63192","0.71687"
"39.60000","2.63908","0.71798"
"39.70000","2.64553","0.71858"
"39.80000","2.65183","0.71910"
"39.90000","2.65819","0.71969"
"40.00000","2.66526","0.72084"
"40.10000","2.67221","0.72148"
"40.20000","2.67878","0.72225"
"40.30000","2.68493","0.72247"
"40.40000","2.69195","0.72365"
"40.50000","2.69907","0.72482"
"40.60000","2.70552","0.72517"
"40.70000","2.71176","0.72562"
"40.80000","2.71819","0.72650"
"40.90000","2.72507","0.72740"
"41.00000","2.73223","0.72813"
"41.10000","2.73881","0.72889"
"41.20000","2.74539","0.72967"
"41.30000","2.75191","0.73012"
"41.40000","2.75871","0.73087"
"41.50000","2.76535","0.73177"
"41.60000","2.77190","0.73236"
"41.70000","2.77877","0.73309"
"41.80000","2.78515","0.73388"
"41.90000","2.79180","0.73418"
"42.00000","2.79876","0.73509"
"42.10000","2.80580","0.73614"
"42.20000","2.81212","0.73618"
"42.30000","2.81821","0.73710"
"42.40000","2.82487","0.73767"
"42.50000","2.83222","0.73878"
"42.60000","2.83900","0.73941"
"42.70000","2.84530","0.73970"
"42.80000","2.85157","0.74009"
"42.90000","2.85856","0.74074"
"43.00000","2.86570","0.74183"
"43.10000","2.87205","0.74249"
"43.20000","2.87839","0.74288"
"43.30000","2.88494","0.74324"
"43.40000","2.89186","0.74450"
"43.50000","2.89867","0.74496"
"43.60000","2.90546","0.74586"
"43.70000","2.91227","0.74636"
"43.80000","2.91847","0.74688"
"43.90000","2.92510","0.74736"
"44.00000","2.93171","0.74766"
"44.10000","2.93879","0.74862"
"44.20000","2.94547","0.74919"
"44.30000","2.95172","0.75008"
"44.40000","2.95828","0.75036"
