Specimen properties : Thickness,"4.00000",mm
Specimen properties : Width,"10.30000",mm
Specimen properties : Support span,"64.00000",mm

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.00000","-0.00644"
"0.10000","0.00087","-0.00629"
"0.20000","0.00653","-0.00289"
"0.30000","0.01668","0.00158"
"0.40000","0.02443","0.00501"
"0.50000","0.03176","0.00829"
"0.60000","0.03863","0.01066"
"0.70000","0.04493","0.01242"
"0.80000","0.05189","0.01586"
"0.90000","0.05899","0.01836"
"1.00000","0.06555","0.02049"
"1.10000","0.07182","0.02276"
"1.20000","0.07815","0.02511"
"1.30000","0.08520","0.02742"
"1.40000","0.09218","0.03003"
"1.50000","0.09874","0.03251"
"1.60000","0.10545","0.03450"
"1.70000","0.11196","0.03644"
"1.80000","0.11868","0.03939"
"1.90000","0.12530","0.04101"
"2.00000","0.13188","0.04332"
"2.10000","0.13878","0.04557"
"2.20000","0.14516","0.04750"
"2.30000","0.15175","0.04969"
"2.40000","0.15881","0.05198"
"2.50000","0.16576","0.05424"
"2.60000","0.17218","0.05610"
"2.70000","0.17825","0.05792"
"2.80000","0.18480","0.05994"
"2.90000","0.19221","0.06199"
"3.00000","0.19896","0.06405"
"3.10000","0.20532","0.06579"
"3.20000","0.21164","0.06755"
"3.30000","0.21863","0.07002"
"3.40000","0.22572","0.07194"
"3.50000","0.23202","0.07294"
"3.60000","0.23828","0.07511"
"3.70000","0.24506","0.07693"
"3.80000","0.25188","0.07912"
"3.90000","0.25869","0.08062"
"4.00000","0.26536","0.08258"
"4.10000","0.27221","0.08426"
"4.20000","0.27864","0.08588"
"4.30000","0.28515","0.08804"
"4.40000","0.29170","0.08941"
"4.50000","0.29873","0.09122"
"4.60000","0.30545","0.09307"
"4.70000","0.31172","0.09458"
"4.80000","0.31830","0.09603"
"4.90000","0.32572","0.09814"
"5.00000","0.33247","0.09991"
"5.10000","0.33869","0.10135"
"5.20000","0.34482","0.10209"
"5.30000","0.35172","0.10402"
"5.40000","0.35887","0.10570"
"5.50000","0.36539","0.10736"
"5.60000","0.37189","0.10864"
"5.70000","0.37859","0.11046"
"5.80000","0.38531","0.11218"
"5.90000","0.39216","0.11376"
"6.00000","0.39859","0.11515"
"6.10000","0.40515","0.11681"
"6.20000","0.41172","0.11825"
"6.30000","0.41860","0.11954"
"6.40000","0.42539","0.12116"
"6.50000","0.43223","0.12287"
"6.60000","0.43901","0.12401"
"6.70000","0.44523","0.12567"
"6.80000","0.45164","0.12722"
"6.90000","0.45848","0.12826"
"7.00000","0.46552","0.12998"
"7.10000","0.47214","0.13135"
"7.20000","0.47848","0.13270"
"7.30000","0.48522","0.13396"
"7.40000","0.49231","0.13597"
"7.50000","0.49901","0.13699"
"7.60000","0.50522","0.13848"
"7.70000","0.51143","0.13972"
"7.80000","0.51857","0.14139"
"7.90000","0.52545","0.14281"
"8.00000","0.53213","0.14413"
"8.10000","0.53864","0.14537"
"8.20000","0.54532","0.14693"
"8.30000","0.55204","0.14813"
"8.40000","0.55858","0.14921"
"8.50000","0.56509","0.15086"
"8.60000","0.57190","0.15254"
"8.70000","0.57841","0.15333"
"8.80000","0.58523","0.15486"
"8.90000","0.59198","0.15641"
"9.00000","0.59902","0.15780"
"9.10000","0.60550","0.15909"
"9.20000","0.61174","0.16011"
"9.30000","0.61822","0.16151"
"9.40000","0.62522","0.16322"
"9.50000","0.63215","0.16439"
"9.60000","0.63880","0.16576"
"9.70000","0.64499","0.16667"
"9.80000","0.65211","0.16793"
"9.90000","0.65904","0.16958"
"10.00000","0.66552","0.17078"
"10.10000","0.67181","0.17175"
"10.20000","0.67815","0.17289"
"10.30000","0.68526","0.17432"
"10.40000","0.69219","0.17598"
"10.50000","0.69873","0.17688"
"10.60000","0.70549","0.17819"
"10.70000","0.71190","0.17895"
"10.80000","0.71856","0.18083"
"10.90000","0.72520","0.18191"
"11.00000","0.73189","0.18285"
"11.10000","0.73868","0.18418"
"11.20000","0.74516","0.18577"
"11.30000","0.75178","0.18687"
"11.40000","0.75886","0.18878"
"11.50000","0.76573","0.18931"
"11.60000","0.77222","0.19044"
