Specimen properties : Thickness,"3.70000",mm
Specimen properties : Width,"13.00000",mm
Specimen properties : Support span,"59.20000",mm

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.00000","-0.00843"
"0.10000","0.00077","-0.00848"
"0.20000","0.00569","-0.00606"
"0.30000","0.01697","-0.00023"
"0.40000","0.02472","0.00361"
"0.50000","0.03151","0.00710"
"0.60000","0.03828","0.00973"
"0.70000","0.04556","0.01291"
"0.80000","0.05232","0.01545"
"0.90000","0.05861","0.01791"
"1.00000","0.06482","0.02028"
"1.10000","0.07177","0.02312"
"1.20000","0.07879","0.02549"
"1.30000","0.08550","0.02808"
"1.40000","0.09191","0.03033"
"1.50000","0.09851","0.03280"
"1.60000","0.10535","0.03590"
"1.70000","0.11206","0.03783"
"1.80000","0.11844","0.04044"
"1.90000","0.12519","0.04187"
"2.00000","0.13174","0.04481"
"2.10000","0.13846","0.04725"
"2.20000","0.14525","0.04931"
"2.30000","0.15238","0.05168"
"2.40000","0.15894","0.05383"
"2.50000","0.16510","0.05550"
"2.60000","0.17153","0.05783"
"2.70000","0.17845","0.05992"
"2.80000","0.18564","0.06224"
"2.90000","0.19214","0.06409"
"3.00000","0.19835","0.06622"
"3.10000","0.20529","0.06828"
"3.20000","0.21235","0.07071"
"3.30000","0.21896","0.07269"
"3.40000","0.22516","0.07386"
"3.50000","0.23153","0.07579"
"3.60000","0.23854","0.07825"
"3.70000","0.24551","0.08030"
"3.80000","0.25209","0.08165"
"3.90000","0.25883","0.08396"
"4.00000","0.26521","0.08533"
"4.10000","0.27194","0.08724"
"4.20000","0.27852","0.08882"
"4.30000","0.28513","0.09068"
"4.40000","0.29213","0.09252"
"4.50000","0.29853","0.09419"
"4.60000","0.30506","0.09584"
"4.70000","0.31206","0.09785"
"4.80000","0.31909","0.09929"
"4.90000","0.32566","0.10080"
"5.00000","0.33164","0.10245"
"5.10000","0.33812","0.10400"
"5.20000","0.34548","0.10555"
"5.30000","0.35233","0.10760"
"5.40000","0.35879","0.10872"
"5.50000","0.36494","0.11051"
"5.60000","0.37195","0.11208"
"5.70000","0.37904","0.11365"
"5.80000","0.38539","0.11474"
"5.90000","0.39177","0.11614"
"6.00000","0.39821","0.11728"
"6.10000","0.40517","0.11904"
"6.20000","0.41200","0.12069"
"6.30000","0.41869","0.12212"
"6.40000","0.42561","0.12329"
"6.50000","0.43186","0.12454"
"6.60000","0.43841","0.12594"
"6.70000","0.44509","0.12740"
"6.80000","0.45210","0.12893"
"6.90000","0.45880","0.13028"
"7.00000","0.46508","0.13132"
"7.10000","0.47165","0.13315"
"7.20000","0.47898","0.13453"
