Specimen properties : Thickness,"4.20000",mm
Specimen properties : Width,"8.50000",mm
Specimen properties : Support span,"67.20000",mm

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.00000","-0.00436"
"0.10000","0.00098","-0.00373"
"0.20000","0.01125","0.00246"
"0.30000","0.01799","0.00627"
"0.40000","0.02505","0.00932"
"0.50000","0.03172","0.01163"
"0.60000","0.03812","0.01404"
"0.70000","0.04525","0.01658"
"0.80000","0.05225","0.01902"
"0.90000","0.05882","0.02154"
"1.00000","0.06506","0.02369"
"1.10000","0.07194","0.02607"
"1.20000","0.07897","0.02872"
"1.30000","0.08540","0.03060"
"1.40000","0.09180","0.03318"
"1.50000","0.09827","0.03516"
"1.60000","0.10509","0.03742"
"1.70000","0.11200","0.03983"
"1.80000","0.11869","0.04236"
"1.90000","0.12558","0.04447"
"2.00000","0.13207","0.04636"
"2.10000","0.13845","0.04892"
"2.20000","0.14503","0.05073"
"2.30000","0.15184","0.05271"
"2.40000","0.15888","0.05517"
"2.50000","0.16517","0.05687"
"2.60000","0.17164","0.05893"
"2.70000","0.17871","0.06114"
"2.80000","0.18592","0.06353"
"2.90000","0.19226","0.06524"
"3.00000","0.19830","0.06729"
"3.10000","0.20468","0.06909"
"3.20000","0.21200","0.07152"
"3.30000","0.21896","0.07308"
"3.40000","0.22536","0.07494"
"3.50000","0.23188","0.07701"
"3.60000","0.23858","0.07880"
"3.70000","0.24559","0.08076"
"3.80000","0.25198","0.08272"
"3.90000","0.25838","0.08426"
"4.00000","0.26513","0.08615"
"4.10000","0.27184","0.08807"
"4.20000","0.27870","0.08998"
"4.30000","0.28544","0.09176"
"4.40000","0.29245","0.09343"
"4.50000","0.29870","0.09550"
"4.60000","0.30500","0.09674"
"4.70000","0.31179","0.09866"
"4.80000","0.31874","0.10018"
"4.90000","0.32554","0.10216"
"5.00000","0.33187","0.10374"
"5.10000","0.33836","0.10520"
"5.20000","0.34554","0.10742"
"5.30000","0.35242","0.10928"
"5.40000","0.35874","0.11055"
"5.50000","0.36500","0.11216"
"5.60000","0.37159","0.11364"
"5.70000","0.37870","0.11530"
"5.80000","0.38556","0.11672"
"5.90000","0.39203","0.11850"
"6.00000","0.39853","0.12028"
"6.10000","0.40512","0.12207"
"6.20000","0.41203","0.12380"
"6.30000","0.41859","0.12557"
"6.40000","0.42521","0.12666"
"6.50000","0.43177","0.12797"
"6.60000","0.43841","0.12971"
