Specimen properties : Thickness,"2.70000",mm
Specimen properties : Width,"11.70000",mm
Specimen properties : Support span,"43.20000",mm

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.00000","-0.00515"
"0.10000","0.00087","-0.00463"
"0.20000","0.00601","-0.00052"
"0.30000","0.01626","0.00814"
"0.40000","0.02452","0.01345"
"0.50000","0.03202","0.01790"
"0.60000","0.03866","0.02229"
"0.70000","0.04500","0.02597"
"0.80000","0.05187","0.02974"
"0.90000","0.05902","0.03334"
"1.00000","0.06542","0.03715"
"1.10000","0.07177","0.04035"
"1.20000","0.07832","0.04431"
"1.30000","0.08523","0.04786"
"1.40000","0.09205","0.05154"
"1.50000","0.09875","0.05513"
"1.60000","0.10570","0.05832"
"1.70000","0.11203","0.06163"
"1.80000","0.11838","0.06483"
"1.90000","0.12490","0.06837"
"2.00000","0.13211","0.07218"
"2.10000","0.13889","0.07534"
"2.20000","0.14515","0.07827"
"2.30000","0.15168","0.08155"
"2.40000","0.15896","0.08496"
"2.50000","0.16583","0.08828"
"2.60000","0.17212","0.09098"
"2.70000","0.17824","0.09393"
"2.80000","0.18488","0.09648"
"2.90000","0.19197","0.09926"
"3.00000","0.19893","0.10261"
"3.10000","0.20531","0.10518"
"3.20000","0.21193","0.10805"
"3.30000","0.21851","0.11085"
"3.40000","0.22532","0.11370"
"3.50000","0.23196","0.11618"
"3.60000","0.23856","0.11899"
"3.70000","0.24511","0.12178"
"3.80000","0.25182","0.12406"
"3.90000","0.25856","0.12682"
"4.00000","0.26559","0.12960"
"4.10000","0.27228","0.13189"
"4.20000","0.27863","0.13477"
"4.30000","0.28492","0.13694"
"4.40000","0.29162","0.13942"
"4.50000","0.29893","0.14225"
"4.60000","0.30548","0.14433"
"4.70000","0.31188","0.14657"
"4.80000","0.31844","0.14891"
"4.90000","0.32551","0.15146"
"5.00000","0.33238","0.15432"
"5.10000","0.33864","0.15624"
"5.20000","0.34482","0.15842"
"5.30000","0.35171","0.16061"
"5.40000","0.35881","0.16361"
"5.50000","0.36544","0.16545"
"5.60000","0.37204","0.16740"
"5.70000","0.37867","0.16995"
"5.80000","0.38522","0.17203"
"5.90000","0.39192","0.17422"
"6.00000","0.39847","0.17669"
"6.10000","0.40543","0.17923"
"6.20000","0.41185","0.18101"
"6.30000","0.41843","0.18344"
"6.40000","0.42523","0.18530"
"6.50000","0.43236","0.18782"
"6.60000","0.43901","0.18989"
"6.70000","0.44524","0.19163"
"6.80000","0.45147","0.19379"
"6.90000","0.45861","0.19620"
"7.00000","0.46567","0.19829"
"7.10000","0.47211","0.20004"
"7.20000","0.47841","0.20229"
"7.30000","0.48519","0.20425"
"7.40000","0.49225","0.20702"
"7.50000","0.49877","0.20857"
"7.60000","0.50511","0.21007"
"7.70000","0.51169","0.21225"
"7.80000","0.51847","0.21475"
"7.90000","0.52535","0.21688"
"8.00000","0.53202","0.21853"
"8.10000","0.53889","0.22060"
"8.20000","0.54529","0.22191"
"8.30000","0.55183","0.22442"
"8.40000","0.55846","0.22651"
"8.50000","0.56517","0.22822"
"8.60000","0.57213","0.23030"
"8.70000","0.57864","0.23186"
"8.80000","0.58499","0.23375"
"8.90000","0.59208","0.23604"
"9.00000","0.59912","0.23811"
"9.10000","0.60560","0.23970"
"9.20000","0.61162","0.24130"
"9.30000","0.61810","0.24299"
"9.40000","0.62536","0.24555"
"9.50000","0.63222","0.24729"
"9.60000","0.63871","0.24903"
"9.70000","0.64515","0.25029"
"9.80000","0.65184","0.25225"
"9.90000","0.65893","0.25444"
"10.00000","0.66533","0.25591"
"10.10000","0.67173","0.25754"
"10.20000","0.67846","0.25927"
"10.30000","0.68527","0.26110"
"10.40000","0.69202","0.26309"
"10.50000","0.69876","0.26493"
"10.60000","0.70572","0.26672"
"10.70000","0.71202","0.26831"
"10.80000","0.71831","0.26952"
"10.90000","0.72507","0.27160"
"11.00000","0.73210","0.27340"
"11.10000","0.73883","0.27510"
"11.20000","0.74524","0.27661"
"11.30000","0.75177","0.27798"
"11.40000","0.75892","0.28059"
"11.50000","0.76579","0.28169"
"11.60000","0.77211","0.28336"
"11.70000","0.77825","0.28439"
"11.80000","0.78495","0.28622"
"11.90000","0.79202","0.28830"
"12.00000","0.79884","0.28983"
"12.10000","0.80529","0.29122"
"12.20000","0.81191","0.29303"
"12.30000","0.81856","0.29442"
"12.40000","0.82537","0.29611"
"12.50000","0.83192","0.29763"
"12.60000","0.83861","0.29909"
"12.70000","0.84519","0.30090"
"12.80000","0.85177","0.30205"
"12.90000","0.85859","0.30393"
"13.00000","0.86556","0.30584"
"13.10000","0.87230","0.30733"
"13.20000","0.87869","0.30819"
"13.30000","0.88492","0.30995"
"13.40000","0.89166","0.31137"
"13.50000","0.89890","0.31318"
"13.60000","0.90549","0.31480"
"13.70000","0.91175","0.31612"
"13.80000","0.91842","0.31748"
"13.90000","0.92558","0.31984"
"14.00000","0.93235","0.32100"
"14.10000","0.93857","0.32215"
"14.20000","0.94483","0.32328"
"14.30000","0.95162","0.32499"
"14.40000","0.95877","0.32627"
"14.50000","0.96539","0.32782"
"14.60000","0.97200","0.32938"
"14.70000","0.97870","0.33096"
"14.80000","0.98530","0.33239"
"14.90000","0.99200","0.33385"
"15.00000","0.99866","0.33493"
"15.10000","1.00546","0.33660"
"15.20000","1.01182","0.33762"
"15.30000","1.01841","0.33902"
"15.40000","1.02528","0.34060"
"15.50000","1.03243","0.34260"
"15.60000","1.03905","0.34362"
"15.70000","1.04502","0.34461"
"15.80000","1.05145","0.34558"
"15.90000","1.05860","0.34750"
"16.00000","1.06566","0.34881"
"16.10000","1.07218","0.35050"
"16.20000","1.07835","0.35124"
"16.30000","1.08515","0.35268"
"16.40000","1.09222","0.35455"
"16.50000","1.09886","0.35579"
"16.60000","1.10524","0.35656"
"16.70000","1.11154","0.35812"
"16.80000","1.11842","0.35964"
"16.90000","1.12533","0.36100"
"17.00000","1.13207","0.36203"
"17.10000","1.13900","0.36337"
