Specimen properties : Thickness,"3.30000",mm
Specimen properties : Width,"12.80000",mm
Specimen properties : Support span,"52.80000",mm

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.00000","-0.00497"
"0.10000","0.00061","-0.00500"
"0.20000","0.00552","-0.00192"
"0.30000","0.01742","0.00453"
"0.40000","0.02510","0.00933"
"0.50000","0.03160","0.01200"
"0.60000","0.03825","0.01583"
"0.70000","0.04506","0.01874"
"0.80000","0.05199","0.02191"
"0.90000","0.05879","0.02490"
"1.00000","0.06509","0.02783"
"1.10000","0.07162","0.03097"
"1.20000","0.07895","0.03431"
"1.30000","0.08594","0.03744"
"1.40000","0.09212","0.04015"
"1.50000","0.09816","0.04282"
"1.60000","0.10492","0.04575"
"1.70000","0.11213","0.04883"
"1.80000","0.11897","0.05125"
"1.90000","0.12529","0.05376"
"2.00000","0.13175","0.05606"
"2.10000","0.13862","0.05944"
"2.20000","0.14565","0.06222"
"2.30000","0.15212","0.06479"
"2.40000","0.15843","0.06685"
"2.50000","0.16506","0.06968"
"2.60000","0.17186","0.07248"
"2.70000","0.17866","0.07504"
"2.80000","0.18559","0.07773"
"2.90000","0.19230","0.07962"
"3.00000","0.19861","0.08228"
"3.10000","0.20497","0.08467"
"3.20000","0.21171","0.08672"
"3.30000","0.21884","0.08961"
"3.40000","0.22547","0.09197"
"3.50000","0.23177","0.09378"
"3.60000","0.23846","0.09666"
"3.70000","0.24571","0.09891"
"3.80000","0.25246","0.10125"
"3.90000","0.25858","0.10245"
"4.00000","0.26476","0.10522"
"4.10000","0.27173","0.10748"
"4.20000","0.27875","0.10958"
"4.30000","0.28553","0.11179"
"4.40000","0.29189","0.11383"
"4.50000","0.29856","0.11602"
"4.60000","0.30527","0.11849"
"4.70000","0.31201","0.12048"
"4.80000","0.31851","0.12235"
"4.90000","0.32529","0.12441"
"5.00000","0.33178","0.12605"
"5.10000","0.33849","0.12877"
"5.20000","0.34520","0.13039"
"5.30000","0.35238","0.13292"
"5.40000","0.35892","0.13420"
"5.50000","0.36518","0.13623"
"5.60000","0.37158","0.13843"
"5.70000","0.37844","0.14040"
"5.80000","0.38556","0.14265"
"5.90000","0.39214","0.14418"
"6.00000","0.39846","0.14616"
"6.10000","0.40518","0.14802"
"6.20000","0.41226","0.15018"
