Specimen properties : Thickness,"4.30000",mm
Specimen properties : Width,"13.20000",mm
Specimen properties : Support span,"68.80000",mm

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.00000","-0.00394"
"0.10000","0.00079","-0.00382"
"0.20000","0.00554","-0.00188"
"0.30000","0.01649","0.00317"
"0.40000","0.02495","0.00604"
"0.50000","0.03179","0.00865"
"0.60000","0.03814","0.01080"
"0.70000","0.04536","0.01361"
"0.80000","0.05238","0.01657"
"0.90000","0.05881","0.01846"
"1.00000","0.06503","0.02089"
"1.10000","0.07151","0.02289"
"1.20000","0.07856","0.02541"
"1.30000","0.08552","0.02778"
"1.40000","0.09208","0.03006"
"1.50000","0.09884","0.03245"
"1.60000","0.10529","0.03526"
"1.70000","0.11195","0.03713"
"1.80000","0.11852","0.03920"
"1.90000","0.12525","0.04122"
"2.00000","0.13210","0.04359"
"2.10000","0.13845","0.04553"
"2.20000","0.14511","0.04829"
"2.30000","0.15228","0.05031"
"2.40000","0.15914","0.05243"
"2.50000","0.16545","0.05429"
"2.60000","0.17156","0.05678"
"2.70000","0.17822","0.05860"
"2.80000","0.18553","0.06107"
"2.90000","0.19224","0.06265"
"3.00000","0.19858","0.06476"
"3.10000","0.20505","0.06651"
"3.20000","0.21208","0.06914"
"3.30000","0.21895","0.07096"
"3.40000","0.22529","0.07308"
"3.50000","0.23162","0.07475"
"3.60000","0.23846","0.07736"
"3.70000","0.24526","0.07911"
"3.80000","0.25191","0.08121"
"3.90000","0.25875","0.08266"
"4.00000","0.26549","0.08512"
"4.10000","0.27193","0.08672"
"4.20000","0.27844","0.08868"
"4.30000","0.28505","0.09040"
"4.40000","0.29217","0.09229"
"4.50000","0.29874","0.09377"
"4.60000","0.30505","0.09574"
"4.70000","0.31169","0.09781"
"4.80000","0.31910","0.09972"
"4.90000","0.32575","0.10186"
"5.00000","0.33195","0.10287"
"5.10000","0.33806","0.10466"
"5.20000","0.34513","0.10662"
"5.30000","0.35222","0.10830"
"5.40000","0.35875","0.11014"
"5.50000","0.36516","0.11166"
"5.60000","0.37188","0.11285"
"5.70000","0.37881","0.11499"
"5.80000","0.38546","0.11657"
"5.90000","0.39188","0.11786"
"6.00000","0.39848","0.12007"
"6.10000","0.40502","0.12134"
"6.20000","0.41202","0.12342"
"6.30000","0.41873","0.12487"
"6.40000","0.42563","0.12645"
"6.50000","0.43222","0.12814"
"6.60000","0.43853","0.12921"
"6.70000","0.44503","0.13055"
"6.80000","0.45181","0.13263"
"6.90000","0.45895","0.13427"
"7.00000","0.46546","0.13569"
"7.10000","0.47174","0.13683"
"7.20000","0.47859","0.13836"
"7.30000","0.48568","0.13990"
"7.40000","0.49234","0.14154"
"7.50000","0.49854","0.14274"
"7.60000","0.50472","0.14404"
"7.70000","0.51186","0.14581"
"7.80000","0.51887","0.14713"
"7.90000","0.52539","0.14853"
"8.00000","0.53193","0.15028"
"8.10000","0.53858","0.15127"
"8.20000","0.54541","0.15277"
"8.30000","0.55198","0.15417"
"8.40000","0.55847","0.15523"
"8.50000","0.56518","0.15664"
"8.60000","0.57167","0.15806"
"8.70000","0.57858","0.15930"
"8.80000","0.58543","0.16109"
"8.90000","0.59237","0.16187"
"9.00000","0.59886","0.16318"
"9.10000","0.60492","0.16420"
"9.20000","0.61147","0.16598"
"9.30000","0.61870","0.16746"
"9.40000","0.62557","0.16873"
"9.50000","0.63204","0.16980"
