Specimen properties : Thickness,"3.30000",mm
Specimen properties : Width,"6.90000",mm
Specimen properties : Support span,"52.80000",mm

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.00000","-0.00145"
"0.10000","0.00080","-0.00141"
"0.20000","0.00575","0.00241"
"0.30000","0.01745","0.01076"
"0.40000","0.02465","0.01436"
"0.50000","0.03140","0.01823"
"0.60000","0.03821","0.02203"
"0.70000","0.04517","0.02574"
"0.80000","0.05210","0.02956"
"0.90000","0.05852","0.03284"
"1.00000","0.06490","0.03651"
"1.10000","0.07212","0.04033"
"1.20000","0.07908","0.04414"
"1.30000","0.08548","0.04727"
"1.40000","0.09165","0.05058"
"1.50000","0.09819","0.05398"
"1.60000","0.10544","0.05763"
"1.70000","0.11220","0.06070"
"1.80000","0.11861","0.06436"
"1.90000","0.12501","0.06758"
"2.00000","0.13190","0.07118"
"2.10000","0.13897","0.07024"
"2.20000","0.14532","0.06729"
"2.30000","0.15174","0.07156"
"2.40000","0.15845","0.07497"
"2.50000","0.16523","0.07835"
"2.60000","0.17213","0.08130"
"2.70000","0.17893","0.08399"
"2.80000","0.18578","0.08685"
"2.90000","0.19202","0.08945"
"3.00000","0.19826","0.09216"
"3.10000","0.20503","0.09515"
"3.20000","0.21213","0.09823"
"3.30000","0.21882","0.10057"
"3.40000","0.22519","0.10350"
"3.50000","0.23173","0.10576"
"3.60000","0.23904","0.10939"
"3.70000","0.24578","0.11237"
"3.80000","0.25199","0.11493"
"3.90000","0.25821","0.11771"
"4.00000","0.26499","0.12056"
"4.10000","0.27206","0.12386"
"4.20000","0.27883","0.12691"
"4.30000","0.28526","0.12984"
"4.40000","0.29203","0.13250"
"4.50000","0.29866","0.13562"
"4.60000","0.30537","0.13863"
"4.70000","0.31177","0.14139"
"4.80000","0.31854","0.14453"
"4.90000","0.32507","0.14720"
"5.00000","0.33182","0.15041"
"5.10000","0.33861","0.15334"
"5.20000","0.34564","0.15624"
"5.30000","0.35225","0.15928"
"5.40000","0.35856","0.16207"
"5.50000","0.36485","0.16449"
"5.60000","0.37173","0.16796"
"5.70000","0.37895","0.17134"
"5.80000","0.38542","0.17363"
"5.90000","0.39171","0.17655"
"6.00000","0.39857","0.17975"
"6.10000","0.40567","0.18246"
"6.20000","0.41231","0.18541"
"6.30000","0.41846","0.18792"
"6.40000","0.42480","0.19082"
"6.50000","0.43179","0.19359"
"6.60000","0.43886","0.19664"
"6.70000","0.44539","0.19905"
"6.80000","0.45204","0.20189"
"6.90000","0.45863","0.20450"
"7.00000","0.46527","0.20805"
"7.10000","0.47192","0.21068"
"7.20000","0.47845","0.21318"
"7.30000","0.48542","0.21613"
"7.40000","0.49179","0.21851"
"7.50000","0.49842","0.22108"
"7.60000","0.50534","0.22430"
"7.70000","0.51253","0.22732"
"7.80000","0.51903","0.22960"
"7.90000","0.52506","0.23220"
"8.00000","0.53146","0.23520"
"8.10000","0.53869","0.23776"
"8.20000","0.54559","0.24059"
"8.30000","0.55222","0.24332"
"8.40000","0.55833","0.24557"
"8.50000","0.56524","0.24841"
"8.60000","0.57231","0.25106"
"8.70000","0.57874","0.25327"
"8.80000","0.58510","0.25614"
"8.90000","0.59156","0.25832"
"9.00000","0.59846","0.26120"
"9.10000","0.60541","0.26370"
"9.20000","0.61199","0.26660"
"9.30000","0.61899","0.26925"
"9.40000","0.62520","0.27116"
"9.50000","0.63175","0.27346"
"9.60000","0.63838","0.27634"
"9.70000","0.64537","0.27926"
"9.80000","0.65218","0.28121"
"9.90000","0.65845","0.28322"
"10.00000","0.66500","0.28593"
"10.10000","0.67216","0.28844"
"10.20000","0.67927","0.29123"
"10.30000","0.68552","0.29282"
"10.40000","0.69150","0.29479"
"10.50000","0.69814","0.29776"
"10.60000","0.70547","0.30028"
"10.70000","0.71224","0.30234"
"10.80000","0.71865","0.30444"
"10.90000","0.72514","0.30688"
"11.00000","0.73197","0.30883"
"11.10000","0.73899","0.31144"
"11.20000","0.74538","0.31371"
"11.30000","0.75176","0.31531"
"11.40000","0.75841","0.31775"
"11.50000","0.76527","0.31981"
"11.60000","0.77192","0.32189"
"11.70000","0.77884","0.32389"
"11.80000","0.78569","0.32639"
"11.90000","0.79194","0.32821"
"12.00000","0.79826","0.32993"
"12.10000","0.80505","0.33204"
"12.20000","0.81223","0.33447"
"12.30000","0.81878","0.33622"
"12.40000","0.82509","0.33786"
"12.50000","0.83177","0.34016"
"12.60000","0.83904","0.34235"
"12.70000","0.84583","0.34437"
"12.80000","0.85197","0.34524"
"12.90000","0.85810","0.34718"
"13.00000","0.86501","0.34944"
"13.10000","0.87209","0.35120"
"13.20000","0.87893","0.35300"
"13.30000","0.88523","0.35484"
"13.40000","0.89189","0.35681"
"13.50000","0.89855","0.35836"
"13.60000","0.90536","0.36010"
"13.70000","0.91191","0.36178"
"13.80000","0.91858","0.36358"
"13.90000","0.92509","0.36481"
"14.00000","0.93183","0.36652"
"14.10000","0.93853","0.36864"
"14.20000","0.94571","0.37020"
"14.30000","0.95229","0.37173"
"14.40000","0.95854","0.37326"
"14.50000","0.96491","0.37457"
"14.60000","0.97165","0.37649"
"14.70000","0.97893","0.37789"
"14.80000","0.98549","0.37964"
"14.90000","0.99182","0.38062"
"15.00000","0.99852","0.38271"
"15.10000","1.00556","0.38413"
"15.20000","1.01230","0.38585"
"15.30000","1.01859","0.38686"
"15.40000","1.02489","0.38826"
"15.50000","1.03169","0.39004"
"15.60000","1.03881","0.39176"
"15.70000","1.04544","0.39262"
"15.80000","1.05208","0.39431"
"15.90000","1.05863","0.39588"
"16.00000","1.06528","0.39760"
"16.10000","1.07187","0.39897"
"16.20000","1.07845","0.40005"
"16.30000","1.08549","0.40151"
"16.40000","1.09187","0.40269"
"16.50000","1.09839","0.40386"
"16.60000","1.10525","0.40568"
"16.70000","1.11244","0.40746"
"16.80000","1.11901","0.40850"
"16.90000","1.12512","0.40971"
"17.00000","1.13146","0.41118"
"17.10000","1.13873","0.41258"
"17.20000","1.14559","0.41392"
"17.30000","1.15204","0.41508"
"17.40000","1.15840","0.41590"
"17.50000","1.16532","0.41771"
"17.60000","1.17231","0.41964"
"17.70000","1.17876","0.42043"
"17.80000","1.18498","0.42149"
"17.90000","1.19168","0.42287"
"18.00000","1.19845","0.42420"
"18.10000","1.20530","0.42556"
"18.20000","1.21195","0.42648"
"18.30000","1.21896","0.42841"
"18.40000","1.22534","0.42912"
"18.50000","1.23180","0.43046"
"18.60000","1.23839","0.43200"
"18.70000","1.24528","0.43303"
"18.80000","1.25214","0.43448"
"18.90000","1.25859","0.43516"
"19.00000","1.26493","0.43646"
"19.10000","1.27216","0.43833"
"19.20000","1.27914","0.43952"
"19.30000","1.28554","0.44026"
"19.40000","1.29155","0.44115"
"19.50000","1.29822","0.44221"
"19.60000","1.30547","0.44378"
"19.70000","1.31219","0.44513"
"19.80000","1.31865","0.44620"
"19.90000","1.32514","0.44722"
"20.00000","1.33191","0.44846"
"20.10000","1.33889","0.45023"
"20.20000","1.34532","0.45083"
"20.30000","1.35182","0.45176"
"20.40000","1.35840","0.45295"
"20.50000","1.36522","0.45432"
"20.60000","1.37215","0.45521"
"20.70000","1.37881","0.45614"
"20.80000","1.38571","0.45767"
"20.90000","1.39195","0.45901"
"21.00000","1.39832","0.45968"
"21.10000","1.40509","0.46084"
"21.20000","1.41211","0.46184"
"21.30000","1.41877","0.46312"
"21.40000","1.42524","0.46403"
"21.50000","1.43179","0.46548"
"21.60000","1.43900","0.46674"
"21.70000","1.44583","0.46753"
"21.80000","1.45205","0.46842"
"21.90000","1.45812","0.46867"
"22.00000","1.46496","0.47012"
"22.10000","1.47214","0.47200"
"22.20000","1.47890","0.47275"
"22.30000","1.48521","0.47357"
"22.40000","1.49185","0.47469"
"22.50000","1.49857","0.47563"
"22.60000","1.50541","0.47677"
"22.70000","1.51194","0.47780"
"22.80000","1.51866","0.47871"
"22.90000","1.52514","0.47973"
"23.00000","1.53182","0.48059"
"23.10000","1.53857","0.48240"
"23.20000","1.54564","0.48318"
"23.30000","1.55227","0.48432"
"23.40000","1.55862","0.48524"
"23.50000","1.56491","0.48576"
"23.60000","1.57174","0.48681"
"23.70000","1.57888","0.48811"
"23.80000","1.58545","0.48883"
"23.90000","1.59171","0.48966"
"24.00000","1.59855","0.49104"
"24.10000","1.60562","0.49210"
"24.20000","1.61228","0.49295"
"24.30000","1.61851","0.49390"
"24.40000","1.62476","0.49456"
"24.50000","1.63169","0.49597"
"24.60000","1.63883","0.49719"
"24.70000","1.64546","0.49787"
"24.80000","1.65207","0.49902"
"24.90000","1.65860","0.49954"
"25.00000","1.66526","0.50083"
"25.10000","1.67190","0.50155"
"25.20000","1.67853","0.50306"
"25.30000","1.68544","0.50385"
"25.40000","1.69185","0.50436"
"25.50000","1.69846","0.50580"
"25.60000","1.70540","0.50650"
"25.70000","1.71245","0.50768"
"25.80000","1.71894","0.50862"
"25.90000","1.72498","0.50919"
"26.00000","1.73149","0.50999"
"26.10000","1.73872","0.51158"
"26.20000","1.74572","0.51265"
"26.30000","1.75207","0.51312"
"26.40000","1.75829","0.51403"
"26.50000","1.76524","0.51507"
"26.60000","1.77230","0.51616"
"26.70000","1.77876","0.51685"
"26.80000","1.78521","0.51795"
"26.90000","1.79157","0.51859"
"27.00000","1.79844","0.51971"
"27.10000","1.80538","0.52082"
"27.20000","1.81203","0.52137"
"27.30000","1.81894","0.52254"
"27.40000","1.82518","0.52323"
"27.50000","1.83183","0.52470"
"27.60000","1.83845","0.52516"
"27.70000","1.84532","0.52650"
"27.80000","1.85225","0.52717"
"27.90000","1.85846","0.52773"
"28.00000","1.86486","0.52871"
"28.10000","1.87214","0.52973"
"28.20000","1.87930","0.53088"
"28.30000","1.88555","0.53128"
"28.40000","1.89159","0.53183"
"28.50000","1.89820","0.53303"
"28.60000","1.90539","0.53461"
"28.70000","1.91226","0.53518"
"28.80000","1.91868","0.53553"
"28.90000","1.92513","0.53653"
"29.00000","1.93194","0.53736"
"29.10000","1.93894","0.53833"
"29.20000","1.94536","0.53893"
"29.30000","1.95180","0.54011"
"29.40000","1.95841","0.54075"
"29.50000","1.96519","0.54169"
"29.60000","1.97201","0.54267"
"29.70000","1.97885","0.54336"
"29.80000","1.98568","0.54405"
"29.90000","1.99199","0.54471"
"30.00000","1.99824","0.54536"
"30.10000","2.00500","0.54624"
"30.20000","2.01227","0.54731"
"30.30000","2.01884","0.54799"
"30.40000","2.02514","0.54854"
"30.50000","2.03175","0.54948"
"30.60000","2.03896","0.55068"
"30.70000","2.04584","0.55174"
"30.80000","2.05204","0.55191"
"30.90000","2.05810","0.55255"
"31.00000","2.06499","0.55326"
"31.10000","2.07210","0.55448"
"31.20000","2.07887","0.55518"
"31.30000","2.08533","0.55589"
"31.40000","2.09186","0.55632"
"31.50000","2.09847","0.55737"
"31.60000","2.10542","0.55808"
"31.70000","2.11196","0.55858"
"31.80000","2.11860","0.55958"
"31.90000","2.12498","0.56017"
"32.00000","2.13179","0.56112"
"32.10000","2.13859","0.56188"
"32.20000","2.14564","0.56303"
"32.30000","2.15230","0.56377"
"32.40000","2.15856","0.56397"
"32.50000","2.16493","0.56454"
"32.60000","2.17175","0.56549"
"32.70000","2.17890","0.56657"
"32.80000","2.18551","0.56738"
"32.90000","2.19167","0.56764"
"33.00000","2.19853","0.56840"
"33.10000","2.20566","0.56963"
