Specimen properties : Thickness,"3.64000",mm
Specimen properties : Width,"5.38000",mm
Specimen properties : Support span,"58.24000",mm

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.00000","-0.00089"
"0.10000","0.00070","0.00020"
"0.20000","0.00527","0.00287"
"0.30000","0.01713","0.00856"
"0.40000","0.02488","0.01249"
"0.50000","0.03198","0.01600"
"0.60000","0.03859","0.01956"
"0.70000","0.04507","0.02233"
"0.80000","0.05168","0.02546"
"0.90000","0.05833","0.02854"
"1.00000","0.06519","0.03208"
"1.10000","0.07195","0.03515"
"1.20000","0.07904","0.03832"
"1.30000","0.08551","0.04159"
"1.40000","0.09177","0.04434"
"1.50000","0.09839","0.04733"
"1.60000","0.10522","0.05075"
"1.70000","0.11225","0.05437"
"1.80000","0.11877","0.05706"
"1.90000","0.12506","0.05965"
"2.00000","0.13216","0.06297"
"2.10000","0.13907","0.06570"
"2.20000","0.14552","0.06877"
"2.30000","0.15175","0.07167"
"2.40000","0.15814","0.07457"
"2.50000","0.16540","0.07794"
"2.60000","0.17222","0.08068"
"2.70000","0.17862","0.08329"
"2.80000","0.18531","0.08616"
"2.90000","0.19194","0.08912"
"3.00000","0.19876","0.09211"
"3.10000","0.20525","0.09492"
"3.20000","0.21182","0.09762"
"3.30000","0.21843","0.10065"
"3.40000","0.22506","0.10347"
"3.50000","0.23190","0.10670"
"3.60000","0.23876","0.10888"
"3.70000","0.24575","0.11199"
"3.80000","0.25211","0.11438"
"3.90000","0.25821","0.11691"
"4.00000","0.26488","0.11985"
"4.10000","0.27224","0.12282"
"4.20000","0.27890","0.12569"
"4.30000","0.28524","0.12820"
"4.40000","0.29163","0.13097"
"4.50000","0.29896","0.13395"
"4.60000","0.30571","0.13625"
"4.70000","0.31199","0.13881"
"4.80000","0.31819","0.14157"
"4.90000","0.32491","0.14412"
"5.00000","0.33209","0.14736"
"5.10000","0.33882","0.15007"
"5.20000","0.34539","0.15261"
"5.30000","0.35200","0.15513"
"5.40000","0.35863","0.15758"
"5.50000","0.36533","0.16017"
"5.60000","0.37187","0.16293"
"5.70000","0.37859","0.16563"
"5.80000","0.38525","0.16822"
"5.90000","0.39177","0.17111"
"6.00000","0.39847","0.17309"
"6.10000","0.40573","0.17627"
"6.20000","0.41242","0.17855"
"6.30000","0.41861","0.18072"
"6.40000","0.42488","0.18333"
"6.50000","0.43178","0.18632"
"6.60000","0.43901","0.18906"
"6.70000","0.44559","0.19145"
"6.80000","0.45184","0.19369"
"6.90000","0.45844","0.19297"
"7.00000","0.46548","0.16731"
"7.10000","0.47222","0.17509"
"7.20000","0.47858","0.17929"
"7.30000","0.48493","0.18246"
"7.40000","0.49165","0.18556"
"7.50000","0.49857","0.18828"
"7.60000","0.50542","0.19073"
"7.70000","0.51218","0.19317"
"7.80000","0.51879","0.19557"
"7.90000","0.52523","0.19759"
"8.00000","0.53165","0.20023"
"8.10000","0.53843","0.20210"
"8.20000","0.54556","0.20455"
"8.30000","0.55185","0.20589"
"8.40000","0.55823","0.20808"
"8.50000","0.56533","0.20972"
"8.60000","0.57257","0.21192"
"8.70000","0.57901","0.21364"
"8.80000","0.58500","0.21585"
"8.90000","0.59131","0.21820"
"9.00000","0.59859","0.22101"
"9.10000","0.60563","0.22297"
"9.20000","0.61209","0.22546"
"9.30000","0.61852","0.22796"
"9.40000","0.62517","0.23051"
"9.50000","0.63223","0.23319"
"9.60000","0.63880","0.23508"
"9.70000","0.64520","0.23750"
"9.80000","0.65180","0.23993"
"9.90000","0.65840","0.24247"
"10.00000","0.66532","0.24504"
"10.10000","0.67217","0.24746"
"10.20000","0.67910","0.24992"
"10.30000","0.68547","0.25190"
"10.40000","0.69174","0.25447"
"10.50000","0.69837","0.25660"
"10.60000","0.70527","0.25886"
"10.70000","0.71229","0.26156"
"10.80000","0.71857","0.26322"
"10.90000","0.72496","0.26580"
"11.00000","0.73209","0.26830"
"11.10000","0.73915","0.27105"
"11.20000","0.74554","0.27327"
"11.30000","0.75180","0.27521"
"11.40000","0.75808","0.27698"
"11.50000","0.76528","0.27991"
"11.60000","0.77227","0.28188"
"11.70000","0.77871","0.28428"
"11.80000","0.78513","0.28637"
"11.90000","0.79188","0.28858"
"12.00000","0.79883","0.29087"
"12.10000","0.80530","0.29274"
"12.20000","0.81175","0.29476"
"12.30000","0.81841","0.29698"
"12.40000","0.82501","0.29887"
"12.50000","0.83190","0.30135"
"12.60000","0.83875","0.30358"
"12.70000","0.84581","0.30596"
"12.80000","0.85205","0.30760"
"12.90000","0.85822","0.30994"
"13.00000","0.86488","0.31164"
"13.10000","0.87207","0.31407"
"13.20000","0.87891","0.31590"
"13.30000","0.88530","0.31799"
"13.40000","0.89162","0.32013"
"13.50000","0.89880","0.32251"
"13.60000","0.90587","0.32443"
"13.70000","0.91208","0.32620"
"13.80000","0.91820","0.32776"
"13.90000","0.92490","0.33003"
"14.00000","0.93206","0.33208"
"14.10000","0.93883","0.33433"
"14.20000","0.94538","0.33585"
"14.30000","0.95212","0.33798"
"14.40000","0.95856","0.33967"
"14.50000","0.96522","0.34178"
"14.60000","0.97182","0.34348"
"14.70000","0.97869","0.34541"
"14.80000","0.98536","0.34810"
"14.90000","0.99176","0.34951"
"15.00000","0.99853","0.35161"
"15.10000","1.00571","0.35351"
"15.20000","1.01247","0.35559"
"15.30000","1.01848","0.35696"
"15.40000","1.02481","0.35901"
"15.50000","1.03177","0.36114"
"15.60000","1.03902","0.36351"
"15.70000","1.04556","0.36491"
"15.80000","1.05184","0.36637"
"15.90000","1.05831","0.36829"
"16.00000","1.06554","0.37061"
"16.10000","1.07227","0.37233"
"16.20000","1.07855","0.37392"
"16.30000","1.08508","0.37543"
"16.40000","1.09171","0.37731"
"16.50000","1.09862","0.37950"
"16.60000","1.10533","0.38149"
"16.70000","1.11211","0.38332"
"16.80000","1.11879","0.38516"
"16.90000","1.12523","0.38671"
"17.00000","1.13174","0.38806"
"17.10000","1.13846","0.38980"
"17.20000","1.14552","0.39167"
"17.30000","1.15200","0.39363"
"17.40000","1.15833","0.39504"
"17.50000","1.16522","0.39700"
"17.60000","1.17242","0.39884"
"17.70000","1.17906","0.40046"
"17.80000","1.18516","0.40157"
"17.90000","1.19131","0.40349"
"18.00000","1.19858","0.40524"
"18.10000","1.20549","0.40737"
"18.20000","1.21212","0.40845"
"18.30000","1.21854","0.41023"
"18.40000","1.22520","0.41179"
"18.50000","1.23232","0.41394"
"18.60000","1.23874","0.41523"
"18.70000","1.24508","0.41675"
"18.80000","1.25179","0.41823"
"18.90000","1.25853","0.41981"
"19.00000","1.26533","0.42169"
"19.10000","1.27210","0.42351"
"19.20000","1.27913","0.42521"
"19.30000","1.28539","0.42658"
"19.40000","1.29165","0.42801"
"19.50000","1.29838","0.42948"
"19.60000","1.30531","0.43112"
"19.70000","1.31225","0.43292"
"19.80000","1.31872","0.43408"
"19.90000","1.32499","0.43569"
"20.00000","1.33220","0.43755"
"20.10000","1.33914","0.43910"
"20.20000","1.34552","0.44027"
"20.30000","1.35170","0.44165"
"20.40000","1.35806","0.44270"
"20.50000","1.36542","0.44463"
"20.60000","1.37226","0.44635"
"20.70000","1.37870","0.44761"
"20.80000","1.38536","0.44908"
"20.90000","1.39200","0.45077"
"21.00000","1.39873","0.45202"
"21.10000","1.40522","0.45339"
"21.20000","1.41182","0.45499"
"21.30000","1.41844","0.45614"
"21.40000","1.42498","0.45747"
"21.50000","1.43193","0.45906"
"21.60000","1.43884","0.46070"
"21.70000","1.44575","0.46243"
"21.80000","1.45209","0.46323"
"21.90000","1.45824","0.46454"
"22.00000","1.46487","0.46613"
"22.10000","1.47212","0.46772"
"22.20000","1.47888","0.46913"
"22.30000","1.48519","0.47055"
"22.40000","1.49165","0.47195"
"22.50000","1.49889","0.47367"
"22.60000","1.50570","0.47491"
"22.70000","1.51201","0.47606"
"22.80000","1.51825","0.47713"
"22.90000","1.52496","0.47859"
"23.00000","1.53210","0.48012"
"23.10000","1.53884","0.48152"
"23.20000","1.54539","0.48293"
"23.30000","1.55208","0.48437"
"23.40000","1.55854","0.48490"
"23.50000","1.56531","0.48683"
"23.60000","1.57184","0.48772"
"23.70000","1.57864","0.48937"
"23.80000","1.58525","0.49052"
"23.90000","1.59176","0.49168"
"24.00000","1.59850","0.49322"
"24.10000","1.60575","0.49438"
"24.20000","1.61247","0.49592"
"24.30000","1.61861","0.49720"
"24.40000","1.62492","0.49797"
"24.50000","1.63178","0.49948"
"24.60000","1.63897","0.50107"
"24.70000","1.64563","0.50214"
"24.80000","1.65183","0.50352"
