Specimen properties : Thickness,"2.50000",mm
Specimen properties : Width,"7.40000",mm
Specimen properties : Support span,"40.00000",mm

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.00000","-0.00110"
"0.10000","0.00079","-0.00034"
"0.20000","0.00543","0.00275"
"0.30000","0.01713","0.01023"
"0.40000","0.02510","0.01450"
"0.50000","0.03162","0.01751"
"0.60000","0.03847","0.02140"
"0.70000","0.04485","0.02493"
"0.80000","0.05147","0.02816"
"0.90000","0.05877","0.03208"
"1.00000","0.06545","0.03531"
"1.10000","0.07201","0.03849"
"1.20000","0.07831","0.04190"
"1.30000","0.08557","0.04556"
"1.40000","0.09244","0.04881"
"1.50000","0.09864","0.05153"
"1.60000","0.10487","0.05478"
"1.70000","0.11160","0.05804"
"1.80000","0.11870","0.06154"
"1.90000","0.12544","0.06420"
"2.00000","0.13206","0.06749"
"2.10000","0.13874","0.07018"
"2.20000","0.14522","0.07329"
"2.30000","0.15196","0.07637"
"2.40000","0.15845","0.07923"
"2.50000","0.16528","0.08168"
"2.60000","0.17198","0.08486"
"2.70000","0.17851","0.08761"
"2.80000","0.18516","0.09076"
"2.90000","0.19236","0.09365"
"3.00000","0.19908","0.09430"
"3.10000","0.20523","0.09671"
"3.20000","0.21158","0.09923"
"3.30000","0.21847","0.10196"
"3.40000","0.22560","0.10435"
"3.50000","0.23229","0.10664"
"3.60000","0.23856","0.10933"
"3.70000","0.24509","0.11180"
"3.80000","0.25215","0.11448"
"3.90000","0.25891","0.11733"
"4.00000","0.26526","0.11962"
"4.10000","0.27154","0.12259"
"4.20000","0.27842","0.12520"
"4.30000","0.28529","0.12754"
"4.40000","0.29198","0.13011"
"4.50000","0.29872","0.13251"
"4.60000","0.30538","0.13496"
"4.70000","0.31186","0.13757"
"4.80000","0.31838","0.14017"
"4.90000","0.32517","0.14253"
"5.00000","0.33221","0.14518"
"5.10000","0.33859","0.14738"
"5.20000","0.34498","0.14998"
"5.30000","0.35186","0.15276"
"5.40000","0.35925","0.15514"
"5.50000","0.36572","0.15745"
"5.60000","0.37177","0.15948"
"5.70000","0.37811","0.16155"
"5.80000","0.38519","0.16439"
"5.90000","0.39225","0.16712"
"6.00000","0.39884","0.16924"
"6.10000","0.40512","0.17096"
"6.20000","0.41190","0.17352"
"6.30000","0.41882","0.17589"
"6.40000","0.42543","0.17802"
"6.50000","0.43192","0.18002"
"6.60000","0.43844","0.18256"
"6.70000","0.44519","0.18488"
"6.80000","0.45192","0.18703"
"6.90000","0.45875","0.18945"
"7.00000","0.46576","0.19198"
"7.10000","0.47204","0.19380"
"7.20000","0.47842","0.19572"
"7.30000","0.48494","0.19771"
"7.40000","0.49199","0.19992"
"7.50000","0.49897","0.20211"
"7.60000","0.50525","0.20496"
"7.70000","0.51174","0.20638"
"7.80000","0.51874","0.20876"
"7.90000","0.52573","0.21108"
"8.00000","0.53224","0.21271"
"8.10000","0.53839","0.21451"
"8.20000","0.54480","0.21681"
"8.30000","0.55193","0.21895"
"8.40000","0.55893","0.22134"
"8.50000","0.56536","0.22328"
"8.60000","0.57192","0.22516"
"8.70000","0.57851","0.22728"
"8.80000","0.58536","0.22931"
"8.90000","0.59196","0.23155"
"9.00000","0.59850","0.23318"
"9.10000","0.60519","0.23522"
"9.20000","0.61174","0.23693"
"9.30000","0.61848","0.23876"
"9.40000","0.62544","0.24126"
"9.50000","0.63240","0.24314"
"9.60000","0.63881","0.24504"
"9.70000","0.64497","0.24676"
"9.80000","0.65146","0.24846"
"9.90000","0.65877","0.25063"
"10.00000","0.66551","0.25287"
"10.10000","0.67204","0.25441"
"10.20000","0.67838","0.25632"
"10.30000","0.68544","0.25838"
"10.40000","0.69246","0.26005"
"10.50000","0.69864","0.26156"
"10.60000","0.70490","0.26357"
"10.70000","0.71157","0.26474"
"10.80000","0.71875","0.26732"
"10.90000","0.72546","0.26895"
"11.00000","0.73203","0.27087"
"11.10000","0.73880","0.27267"
"11.20000","0.74522","0.27430"
"11.30000","0.75190","0.27602"
"11.40000","0.75851","0.27797"
"11.50000","0.76532","0.27975"
"11.60000","0.77204","0.28149"
"11.70000","0.77850","0.28323"
"11.80000","0.78506","0.28504"
"11.90000","0.79222","0.28704"
"12.00000","0.79909","0.28896"
"12.10000","0.80534","0.29054"
"12.20000","0.81163","0.29178"
"12.30000","0.81848","0.29388"
"12.40000","0.82556","0.29544"
"12.50000","0.83216","0.29784"
"12.60000","0.83857","0.29914"
"12.70000","0.84511","0.30057"
"12.80000","0.85219","0.30283"
"12.90000","0.85889","0.30481"
"13.00000","0.86519","0.30578"
"13.10000","0.87156","0.30743"
"13.20000","0.87842","0.30950"
"13.30000","0.88542","0.31098"
"13.40000","0.89201","0.31321"
"13.50000","0.89880","0.31474"
"13.60000","0.90545","0.31629"
"13.70000","0.91195","0.31808"
"13.80000","0.91847","0.31940"
"13.90000","0.92507","0.32067"
"14.00000","0.93215","0.32268"
"14.10000","0.93868","0.32432"
"14.20000","0.94498","0.32583"
"14.30000","0.95181","0.32760"
"14.40000","0.95912","0.32999"
"14.50000","0.96572","0.33139"
"14.60000","0.97181","0.33239"
"14.70000","0.97801","0.33395"
"14.80000","0.98521","0.33590"
"14.90000","0.99226","0.33754"
"15.00000","0.99878","0.33874"
"15.10000","1.00521","0.34037"
"15.20000","1.01186","0.34216"
"15.30000","1.01880","0.34363"
"15.40000","1.02539","0.34553"
"15.50000","1.03191","0.34671"
"15.60000","1.03851","0.34862"
"15.70000","1.04506","0.34987"
"15.80000","1.05195","0.35137"
"15.90000","1.05874","0.35352"
"16.00000","1.06580","0.35447"
"16.10000","1.07218","0.35595"
"16.20000","1.07838","0.35725"
"16.30000","1.08507","0.35929"
"16.40000","1.09195","0.36069"
"16.50000","1.09887","0.36224"
"16.60000","1.10533","0.36332"
"16.70000","1.11174","0.36498"
"16.80000","1.11879","0.36686"
"16.90000","1.12577","0.36855"
"17.00000","1.13233","0.36960"
"17.10000","1.13835","0.37073"
"17.20000","1.14477","0.37167"
"17.30000","1.15203","0.37364"
"17.40000","1.15888","0.37500"
"17.50000","1.16531","0.37664"
"17.60000","1.17188","0.37777"
"17.70000","1.17853","0.37946"
"17.80000","1.18542","0.38062"
"17.90000","1.19194","0.38194"
"18.00000","1.19858","0.38282"
"18.10000","1.20527","0.38460"
"18.20000","1.21170","0.38595"
"18.30000","1.21854","0.38767"
"18.40000","1.22542","0.38889"
"18.50000","1.23240","0.39026"
"18.60000","1.23880","0.39104"
"18.70000","1.24497","0.39231"
"18.80000","1.25157","0.39396"
"18.90000","1.25879","0.39562"
"19.00000","1.26555","0.39697"
"19.10000","1.27189","0.39781"
"19.20000","1.27827","0.39916"
"19.30000","1.28544","0.40096"
"19.40000","1.29247","0.40241"
"19.50000","1.29865","0.40332"
"19.60000","1.30490","0.40418"
"19.70000","1.31162","0.40570"
"19.80000","1.31862","0.40729"
"19.90000","1.32547","0.40816"
"20.00000","1.33202","0.40957"
"20.10000","1.33881","0.41090"
"20.20000","1.34524","0.41221"
"20.30000","1.35197","0.41354"
"20.40000","1.35863","0.41458"
"20.50000","1.36535","0.41582"
"20.60000","1.37195","0.41710"
"20.70000","1.37843","0.41801"
"20.80000","1.38518","0.41966"
"20.90000","1.39234","0.42091"
"21.00000","1.39911","0.42224"
"21.10000","1.40521","0.42258"
"21.20000","1.41157","0.42398"
"21.30000","1.41840","0.42550"
"21.40000","1.42566","0.42686"
"21.50000","1.43219","0.42814"
"21.60000","1.43846","0.42875"
"21.70000","1.44503","0.43036"
"21.80000","1.45210","0.43124"
"21.90000","1.45888","0.43306"
"22.00000","1.46531","0.43410"
"22.10000","1.47162","0.43466"
"22.20000","1.47839","0.43600"
"22.30000","1.48531","0.43777"
"22.40000","1.49201","0.43850"
"22.50000","1.49887","0.43973"
"22.60000","1.50532","0.44094"
"22.70000","1.51187","0.44186"
"22.80000","1.51845","0.44270"
"22.90000","1.52509","0.44386"
"23.00000","1.53220","0.44582"
"23.10000","1.53854","0.44640"
"23.20000","1.54498","0.44728"
"23.30000","1.55182","0.44869"
"23.40000","1.55923","0.44990"
"23.50000","1.56577","0.45086"
"23.60000","1.57184","0.45148"
"23.70000","1.57808","0.45251"
"23.80000","1.58523","0.45401"
