Specimen properties : Thickness,"3.20000",mm
Specimen properties : Width,"19.20000",mm
Specimen properties : Support span,"51.20000",mm

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.00000","-0.00158"
"0.10000","0.00061","-0.00170"
"0.20000","0.00479","0.00146"
"0.30000","0.01726","0.00829"
"0.40000","0.02543","0.01295"
"0.50000","0.03213","0.01637"
"0.60000","0.03847","0.01983"
"0.70000","0.04479","0.02300"
"0.80000","0.05179","0.02683"
"0.90000","0.05885","0.03022"
"1.00000","0.06537","0.03363"
"1.10000","0.07210","0.03359"
"1.20000","0.07864","0.03770"
"1.30000","0.08535","0.03959"
"1.40000","0.09197","0.04174"
"1.50000","0.09848","0.04522"
"1.60000","0.10540","0.04843"
"1.70000","0.11182","0.05167"
"1.80000","0.11844","0.05560"
"1.90000","0.12545","0.05914"
"2.00000","0.13241","0.06231"
"2.10000","0.13895","0.06582"
"2.20000","0.14496","0.06940"
"2.30000","0.15144","0.07245"
"2.40000","0.15876","0.07640"
"2.50000","0.16566","0.07968"
"2.60000","0.17216","0.08286"
"2.70000","0.17833","0.08593"
"2.80000","0.18528","0.08950"
"2.90000","0.19239","0.09264"
"3.00000","0.19871","0.09612"
"3.10000","0.20507","0.09916"
"3.20000","0.21155","0.10197"
"3.30000","0.21847","0.10523"
"3.40000","0.22543","0.10879"
"3.50000","0.23204","0.11154"
"3.60000","0.23891","0.11480"
"3.70000","0.24520","0.11794"
"3.80000","0.25178","0.12103"
"3.90000","0.25838","0.12407"
"4.00000","0.26538","0.12748"
"4.10000","0.27219","0.13022"
"4.20000","0.27846","0.13275"
"4.30000","0.28498","0.13639"
"4.40000","0.29224","0.13928"
"4.50000","0.29927","0.14243"
"4.60000","0.30546","0.14517"
"4.70000","0.31151","0.14816"
"4.80000","0.31823","0.15080"
"4.90000","0.32554","0.15411"
"5.00000","0.33233","0.15670"
"5.10000","0.33860","0.15943"
"5.20000","0.34513","0.16210"
"5.30000","0.35193","0.16531"
"5.40000","0.35895","0.16824"
"5.50000","0.36536","0.17077"
"5.60000","0.37181","0.17326"
"5.70000","0.37841","0.17616"
"5.80000","0.38522","0.17916"
"5.90000","0.39202","0.18193"
"6.00000","0.39890","0.18467"
"6.10000","0.40561","0.18759"
"6.20000","0.41191","0.19002"
"6.30000","0.41831","0.19245"
"6.40000","0.42505","0.19542"
"6.50000","0.43224","0.19833"
"6.60000","0.43880","0.20099"
"6.70000","0.44510","0.20340"
"6.80000","0.45179","0.20647"
"6.90000","0.45902","0.20943"
"7.00000","0.46578","0.21182"
