Specimen properties : Thickness,"3.60000",mm
Specimen properties : Width,"9.50000",mm
Specimen properties : Support span,"57.60000",mm

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.00000","-0.00409"
"0.10000","0.00145","-0.00280"
"0.20000","0.01155","0.00414"
"0.30000","0.01836","0.00723"
"0.40000","0.02465","0.01144"
"0.50000","0.03143","0.01495"
"0.60000","0.03857","0.01888"
"0.70000","0.04538","0.02244"
"0.80000","0.05201","0.02536"
"0.90000","0.05832","0.02884"
"1.00000","0.06550","0.03160"
"1.10000","0.07238","0.03519"
"1.20000","0.07877","0.03780"
"1.30000","0.08484","0.04095"
"1.40000","0.09143","0.04373"
"1.50000","0.09859","0.04710"
"1.60000","0.10545","0.04984"
"1.70000","0.11193","0.05281"
"1.80000","0.11862","0.05556"
"1.90000","0.12516","0.05871"
"2.00000","0.13193","0.06163"
"2.10000","0.13847","0.06443"
"2.20000","0.14513","0.06705"
"2.30000","0.15170","0.06920"
"2.40000","0.15841","0.07204"
"2.50000","0.16524","0.07512"
"2.60000","0.17212","0.07754"
"2.70000","0.17894","0.08036"
"2.80000","0.18535","0.08271"
"2.90000","0.19156","0.08544"
"3.00000","0.19825","0.08799"
"3.10000","0.20552","0.09077"
"3.20000","0.21221","0.09294"
"3.30000","0.21852","0.09514"
"3.40000","0.22506","0.09770"
"3.50000","0.23224","0.10038"
"3.60000","0.23898","0.10229"
"3.70000","0.24527","0.10455"
"3.80000","0.25153","0.10675"
"3.90000","0.25837","0.10908"
"4.00000","0.26544","0.11161"
"4.10000","0.27211","0.11342"
"4.20000","0.27871","0.11565"
"4.30000","0.28537","0.11780"
"4.40000","0.29194","0.11974"
"4.50000","0.29869","0.12215"
"4.60000","0.30514","0.12396"
"4.70000","0.31204","0.12624"
"4.80000","0.31852","0.12773"
"4.90000","0.32511","0.13005"
"5.00000","0.33191","0.13177"
"5.10000","0.33912","0.13432"
"5.20000","0.34578","0.13594"
"5.30000","0.35183","0.13731"
"5.40000","0.35815","0.13922"
"5.50000","0.36524","0.14108"
"5.60000","0.37235","0.14332"
"5.70000","0.37888","0.14503"
"5.80000","0.38503","0.14604"
"5.90000","0.39182","0.14783"
"6.00000","0.39893","0.15015"
"6.10000","0.40550","0.15118"
"6.20000","0.41192","0.15306"
"6.30000","0.41824","0.15422"
"6.40000","0.42509","0.15610"
"6.50000","0.43200","0.15785"
"6.60000","0.43871","0.15907"
"6.70000","0.44550","0.16084"
"6.80000","0.45191","0.16172"
"6.90000","0.45853","0.16366"
"7.00000","0.46510","0.16497"
"7.10000","0.47193","0.16620"
"7.20000","0.47888","0.16805"
"7.30000","0.48516","0.16889"
"7.40000","0.49161","0.17051"
"7.50000","0.49866","0.17170"
"7.60000","0.50591","0.17348"
"7.70000","0.51228","0.17411"
"7.80000","0.51827","0.17536"
"7.90000","0.52475","0.17660"
"8.00000","0.53195","0.17788"
"8.10000","0.53894","0.17948"
"8.20000","0.54537","0.18053"
"8.30000","0.55178","0.18179"
"8.40000","0.55860","0.18185"
"8.50000","0.56553","0.18446"
"8.60000","0.57210","0.18485"
"8.70000","0.57851","0.18612"
"8.80000","0.58507","0.18718"
"8.90000","0.59192","0.18871"
"9.00000","0.59860","0.18965"
"9.10000","0.60546","0.19123"
"9.20000","0.61238","0.19168"
"9.30000","0.61866","0.19269"
"9.40000","0.62495","0.19390"
"9.50000","0.63164","0.19511"
"9.60000","0.63877","0.19613"
"9.70000","0.64560","0.19772"
"9.80000","0.65187","0.19827"
"9.90000","0.65835","0.19915"
"10.00000","0.66555","0.20058"
"10.10000","0.67255","0.20174"
"10.20000","0.67873","0.20213"
"10.30000","0.68493","0.20327"
"10.40000","0.69156","0.20441"
"10.50000","0.69867","0.20552"
"10.60000","0.70565","0.20674"
"10.70000","0.71197","0.20750"
"10.80000","0.71856","0.20796"
"10.90000","0.72517","0.20931"
"11.00000","0.73204","0.21069"
"11.10000","0.73864","0.21151"
"11.20000","0.74521","0.21231"
"11.30000","0.75183","0.21276"
"11.40000","0.75844","0.21396"
"11.50000","0.76515","0.21530"
"11.60000","0.77225","0.21620"
"11.70000","0.77893","0.21698"
"11.80000","0.78538","0.21810"
"11.90000","0.79161","0.21885"
"12.00000","0.79827","0.21979"
"12.10000","0.80556","0.22118"
"12.20000","0.81213","0.22174"
"12.30000","0.81863","0.22246"
"12.40000","0.82505","0.22349"
"12.50000","0.83212","0.22459"
"12.60000","0.83911","0.22576"
"12.70000","0.84533","0.22637"
"12.80000","0.85151","0.22714"
"12.90000","0.85833","0.22799"
"13.00000","0.86545","0.22911"
"13.10000","0.87211","0.22992"
"13.20000","0.87872","0.23111"
"13.30000","0.88541","0.23180"
"13.40000","0.89194","0.23259"
"13.50000","0.89856","0.23386"
"13.60000","0.90512","0.23417"
"13.70000","0.91201","0.23544"
"13.80000","0.91858","0.23604"
"13.90000","0.92508","0.23712"
"14.00000","0.93187","0.23799"
"14.10000","0.93909","0.23893"
"14.20000","0.94574","0.23967"
"14.30000","0.95190","0.24039"
"14.40000","0.95816","0.24087"
"14.50000","0.96520","0.24244"
"14.60000","0.97226","0.24327"
"14.70000","0.97882","0.24407"
"14.80000","0.98520","0.24471"
"14.90000","0.99181","0.24527"
"15.00000","0.99881","0.24663"
"15.10000","1.00555","0.24727"
"15.20000","1.01183","0.24765"
"15.30000","1.01830","0.24894"
"15.40000","1.02509","0.25007"
"15.50000","1.03192","0.25043"
"15.60000","1.03865","0.25142"
"15.70000","1.04561","0.25236"
"15.80000","1.05197","0.25288"
"15.90000","1.05850","0.25416"
"16.00000","1.06515","0.25472"
"16.10000","1.07188","0.25576"
"16.20000","1.07879","0.25622"
"16.30000","1.08529","0.25676"
"16.40000","1.09156","0.25774"
"16.50000","1.09865","0.25914"
"16.60000","1.10582","0.26020"
"16.70000","1.11228","0.26043"
"16.80000","1.11834","0.26113"
"16.90000","1.12473","0.26182"
"17.00000","1.13204","0.26290"
"17.10000","1.13890","0.26375"
"17.20000","1.14542","0.26461"
"17.30000","1.15178","0.26517"
"17.40000","1.15857","0.26593"
"17.50000","1.16559","0.26685"
"17.60000","1.17198","0.26743"
"17.70000","1.17843","0.26829"
"17.80000","1.18511","0.26886"
"17.90000","1.19184","0.27001"
"18.00000","1.19860","0.27088"
"18.10000","1.20542","0.27121"
"18.20000","1.21253","0.27235"
"18.30000","1.21868","0.27316"
"18.40000","1.22501","0.27350"
"18.50000","1.23170","0.27453"
"18.60000","1.23877","0.27523"
"18.70000","1.24554","0.27586"
"18.80000","1.25194","0.27619"
"18.90000","1.25830","0.27714"
"19.00000","1.26561","0.27811"
"19.10000","1.27250","0.27928"
"19.20000","1.27883","0.27921"
"19.30000","1.28491","0.28030"
"19.40000","1.29152","0.28120"
"19.50000","1.29867","0.28208"
"19.60000","1.30551","0.28314"
"19.70000","1.31199","0.28346"
"19.80000","1.31866","0.28377"
"19.90000","1.32520","0.28419"
"20.00000","1.33205","0.28496"
"20.10000","1.33870","0.28649"
"20.20000","1.34537","0.28715"
"20.30000","1.35184","0.28761"
"20.40000","1.35842","0.28843"
"20.50000","1.36525","0.28935"
"20.60000","1.37226","0.28974"
"20.70000","1.37893","0.29066"
"20.80000","1.38536","0.29092"
"20.90000","1.39157","0.29168"
"21.00000","1.39834","0.29247"
"21.10000","1.40552","0.29358"
"21.20000","1.41215","0.29431"
"21.30000","1.41844","0.29447"
"21.40000","1.42508","0.29526"
"21.50000","1.43217","0.29642"
"21.60000","1.43906","0.29681"
"21.70000","1.44528","0.29759"
"21.80000","1.45147","0.29759"
"21.90000","1.45837","0.29864"
"22.00000","1.46537","0.29958"
"22.10000","1.47213","0.30027"
"22.20000","1.47869","0.30080"
"22.30000","1.48534","0.30158"
"22.40000","1.49193","0.30252"
"22.50000","1.49863","0.30263"
"22.60000","1.50516","0.30314"
"22.70000","1.51209","0.30428"
"22.80000","1.51860","0.30451"
"22.90000","1.52513","0.30519"
"23.00000","1.53191","0.30601"
"23.10000","1.53906","0.30655"
"23.20000","1.54569","0.30766"
"23.30000","1.55170","0.30776"
"23.40000","1.55819","0.30809"
"23.50000","1.56528","0.30912"
"23.60000","1.57237","0.31009"
"23.70000","1.57885","0.31041"
"23.80000","1.58505","0.31114"
"23.90000","1.59181","0.31156"
"24.00000","1.59880","0.31220"
"24.10000","1.60553","0.31269"
"24.20000","1.61192","0.31336"
"24.30000","1.61822","0.31376"
"24.40000","1.62511","0.31488"
"24.50000","1.63202","0.31558"
"24.60000","1.63876","0.31624"
"24.70000","1.64556","0.31677"
"24.80000","1.65189","0.31713"
"24.90000","1.65851","0.31789"
"25.00000","1.66507","0.31796"
"25.10000","1.67192","0.31926"
"25.20000","1.67890","0.31958"
"25.30000","1.68515","0.32009"
"25.40000","1.69166","0.32037"
"25.50000","1.69866","0.32111"
"25.60000","1.70593","0.32231"
"25.70000","1.71229","0.32256"
"25.80000","1.71835","0.32273"
"25.90000","1.72476","0.32315"
"26.00000","1.73199","0.32443"
"26.10000","1.73893","0.32503"
"26.20000","1.74542","0.32565"
"26.30000","1.75180","0.32607"
"26.40000","1.75854","0.32642"
"26.50000","1.76552","0.32747"
"26.60000","1.77206","0.32805"
"26.70000","1.77853","0.32822"
"26.80000","1.78510","0.32895"
"26.90000","1.79183","0.32952"
"27.00000","1.79872","0.33031"
"27.10000","1.80545","0.33054"
"27.20000","1.81238","0.33136"
"27.30000","1.81872","0.33181"
"27.40000","1.82501","0.33231"
"27.50000","1.83166","0.33273"
"27.60000","1.83878","0.33346"
"27.70000","1.84560","0.33407"
"27.80000","1.85183","0.33417"
"27.90000","1.85834","0.33504"
"28.00000","1.86553","0.33601"
"28.10000","1.87251","0.33660"
"28.20000","1.87880","0.33715"
"28.30000","1.88489","0.33717"
"28.40000","1.89154","0.33795"
"28.50000","1.89865","0.33893"
"28.60000","1.90562","0.33917"
"28.70000","1.91203","0.33995"
"28.80000","1.91853","0.34007"
"28.90000","1.92520","0.34071"
"29.00000","1.93207","0.34165"
"29.10000","1.93863","0.34171"
"29.20000","1.94518","0.34288"
"29.30000","1.95175","0.34296"
"29.40000","1.95846","0.34335"
"29.50000","1.96524","0.34403"
"29.60000","1.97219","0.34497"
"29.70000","1.97898","0.34576"
"29.80000","1.98529","0.34583"
"29.90000","1.99162","0.34664"
"30.00000","1.99826","0.34742"
"30.10000","2.00561","0.34755"
"30.20000","2.01224","0.34841"
"30.30000","2.01847","0.34848"
"30.40000","2.02509","0.34950"
"30.50000","2.03219","0.34982"
"30.60000","2.03908","0.35034"
"30.70000","2.04532","0.35121"
"30.80000","2.05143","0.35149"
"30.90000","2.05836","0.35207"
"31.00000","2.06543","0.35269"
"31.10000","2.07207","0.35342"
"31.20000","2.07872","0.35377"
"31.30000","2.08535","0.35415"
"31.40000","2.09192","0.35473"
"31.50000","2.09855","0.35538"
"31.60000","2.10510","0.35543"
"31.70000","2.11213","0.35668"
"31.80000","2.11861","0.35661"
"31.90000","2.12506","0.35690"
"32.00000","2.13187","0.35798"
"32.10000","2.13915","0.35849"
"32.20000","2.14572","0.35875"
"32.30000","2.15182","0.35864"
"32.40000","2.15817","0.35974"
"32.50000","2.16526","0.36035"
"32.60000","2.17241","0.36094"
"32.70000","2.17881","0.36126"
"32.80000","2.18504","0.36169"
"32.90000","2.19177","0.36216"
"33.00000","2.19891","0.36266"
"33.10000","2.20555","0.36296"
"33.20000","2.21187","0.36357"
"33.30000","2.21827","0.36386"
"33.40000","2.22500","0.36432"
"33.50000","2.23196","0.36484"
"33.60000","2.23876","0.36578"
"33.70000","2.24556","0.36595"
