Data : Measurement 1,Time
Data : Measurement 2,Load
Export raw data : Export raw data,True
Specimen properties : Thickness,"2.50000",mm
Specimen properties : Width,"7.40000",mm
Specimen properties : Support span,"40.00000",mm
Data : Data capture,Default

