Specimen properties : Thickness,"3.30000",mm
Specimen properties : Width,"8.50000",mm
Specimen properties : Support span,"52.80000",mm

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.00000","-0.00287"
"0.10000","0.00086","-0.00221"
"0.20000","0.00610","0.00110"
"0.30000","0.01730","0.00790"
"0.40000","0.02423","0.01124"
"0.50000","0.03151","0.01477"
"0.60000","0.03847","0.01861"
"0.70000","0.04529","0.02171"
"0.80000","0.05186","0.02547"
"0.90000","0.05871","0.02839"
"1.00000","0.06518","0.03225"
"1.10000","0.07180","0.03545"
"1.20000","0.07850","0.03873"
"1.30000","0.08501","0.04219"
"1.40000","0.09190","0.04547"
"1.50000","0.09887","0.04898"
"1.60000","0.10571","0.05228"
"1.70000","0.11202","0.05545"
"1.80000","0.11824","0.05777"
"1.90000","0.12482","0.06124"
"2.00000","0.13208","0.06470"
"2.10000","0.13881","0.06809"
"2.20000","0.14532","0.07066"
"2.30000","0.15166","0.07381"
"2.40000","0.15896","0.07732"
"2.50000","0.16575","0.08042"
"2.60000","0.17199","0.08299"
"2.70000","0.17825","0.08596"
"2.80000","0.18490","0.08894"
"2.90000","0.19217","0.09195"
"3.00000","0.19885","0.09516"
"3.10000","0.20533","0.09822"
"3.20000","0.21201","0.10094"
"3.30000","0.21857","0.10413"
"3.40000","0.22538","0.10732"
"3.50000","0.23190","0.10985"
"3.60000","0.23862","0.11294"
"3.70000","0.24525","0.11570"
"3.80000","0.25181","0.11817"
"3.90000","0.25848","0.12108"
"4.00000","0.26579","0.12404"
"4.10000","0.27245","0.12676"
"4.20000","0.27859","0.12906"
"4.30000","0.28488","0.13198"
"4.40000","0.29178","0.13505"
"4.50000","0.29895","0.13791"
"4.60000","0.30559","0.14071"
"4.70000","0.31181","0.14267"
"4.80000","0.31840","0.14598"
"4.90000","0.32551","0.14849"
"5.00000","0.33221","0.15136"
"5.10000","0.33860","0.15408"
"5.20000","0.34492","0.15654"
"5.30000","0.35174","0.15922"
"5.40000","0.35861","0.16167"
"5.50000","0.36539","0.16453"
"5.60000","0.37209","0.16684"
"5.70000","0.37865","0.16914"
"5.80000","0.38519","0.17173"
"5.90000","0.39170","0.17432"
"6.00000","0.39850","0.17699"
"6.10000","0.40562","0.17923"
"6.20000","0.41186","0.18151"
"6.30000","0.41829","0.18401"
"6.40000","0.42518","0.18667"
"6.50000","0.43259","0.18939"
"6.60000","0.43909","0.19144"
"6.70000","0.44511","0.19306"
"6.80000","0.45132","0.19570"
"6.90000","0.45856","0.19836"
"7.00000","0.46569","0.20090"
"7.10000","0.47211","0.20278"
"7.20000","0.47843","0.20489"
"7.30000","0.48525","0.20722"
"7.40000","0.49216","0.20987"
"7.50000","0.49882","0.21174"
"7.60000","0.50524","0.21385"
"7.70000","0.51176","0.21594"
"7.80000","0.51852","0.21832"
"7.90000","0.52533","0.22013"
"8.00000","0.53208","0.22234"
"8.10000","0.53901","0.22461"
"8.20000","0.54538","0.22690"
"8.30000","0.55182","0.22877"
"8.40000","0.55832","0.23025"
"8.50000","0.56535","0.23296"
"8.60000","0.57223","0.23434"
"8.70000","0.57858","0.23650"
"8.80000","0.58503","0.23825"
"8.90000","0.59208","0.24071"
"9.00000","0.59919","0.24265"
"9.10000","0.60553","0.24404"
"9.20000","0.61169","0.24591"
"9.30000","0.61815","0.24739"
"9.40000","0.62526","0.24950"
"9.50000","0.63224","0.25158"
"9.60000","0.63869","0.25339"
"9.70000","0.64523","0.25477"
"9.80000","0.65184","0.25715"
"9.90000","0.65861","0.25839"
"10.00000","0.66530","0.26020"
"10.10000","0.67186","0.26221"
"10.20000","0.67854","0.26365"
"10.30000","0.68509","0.26561"
"10.40000","0.69185","0.26712"
"10.50000","0.69881","0.26926"
"10.60000","0.70565","0.27084"
"10.70000","0.71205","0.27221"
"10.80000","0.71828","0.27377"
"10.90000","0.72481","0.27559"
"11.00000","0.73214","0.27710"
"11.10000","0.73883","0.27895"
"11.20000","0.74537","0.28039"
"11.30000","0.75177","0.28162"
